Virginia Cherrill
Florence Lee
Harry Myers
Garcia Al Ernest
Hank Mann
Charles Chaplin
Jack Alexander
T.S. Alexander
Victor Alexander
Albert Austin
Harry Ayers
Eddie Baker
Henry Bergman
Betty Blair
Buster Brodie
Jeanne Carpenter
Marie Cooper
Tom Dempsey
Peter Diego
James Donnelly
Ray Erlenborn
Ruth Garcia
Milton Gowman
Robert Graves
Charles Hammond
Jean Harlow
Ad Herman
Joseph Herrick
Austen Jewell
Willie Keeler
A.B. Lane
Eddie McAuliffe
Leila McIntyre
Margaret Oliver
Robert Parrish
Mrs. Pope
John Rand
Granville Redmond
W.C. Robinson
James Sheldon
Cy Slocum
Tony Stabenau
Mark Strong
Jack Sutherland
Joe Van Meter
Emmett Wagner
Tiny Ward
Stanhope Wheatcroft
