Peter Lorre
Ellen Widmann
Inge Landgut
Otto Wernicke
Theodor Loos
Gustaf Gründgens
Friedrich Gnaß
Fritz Odemar
Paul Kemp
Theo Lingen
Rudolf Blümner
Georg John
Franz Stein
Ernst Stahl-Nachbaur
Gerhard Bienert
Karl Platen
Rosa Valetti
Hertha von Walther
Lucie Rhoden
Carl Balhaus
Behal Carrell
Josef Dahmen
J.A. Eckhoff
Else Ehser
Karl Elzer
Ilse Fürstenberg
Anna Goltz
Heinrich Gotho
Heinrich Gretler
Günther Hadank
Albert Hoermann
Ellen Isenta
Karl Junge-Swinburne
Albert Karchow
Werner Kepich
Hermann Krehan
Kurth Leeser
Rose Lichtenstein
Lotte Loebinger
Sigurd Lohde
Alfred Loretto
Hanna Maron
Paul Mederow
Margarete Melzer
Trude Moos
Hadrian Maria Netto
Günter Neumann
Neumann-Schüler
Katharina Nied
Maya Norden
Fred Nurney
Edgar Pauly
Klaus Pohl
Franz Poland
Eduard Rebane
Paul Rehkopf
Bertold Reissig
Ernst Rhaden
Hans Ritter
Max Sablotzki
Agnes Schulz-Lichterfeld
Leonard Steckel
Wolf Trutz
Otto Waldis
Borwin Walth
Rolf Wanka
Bruno Ziener
