Joseph Cotten
Alida Valli
Orson Welles
Trevor Howard
Bernard Lee
Paul Hörbiger
Ernst Deutsch
Siegfried Breuer
Erich Ponto
Wilfrid Hyde-White
Hedwig Bleibtreu
Nelly Arno
Jack Arrow
Harold Ayer
Harry Belcher
Leo Bieber
Paul Birch
Martin Boddey
Madge Brindley
Robert Brown
Ray Browne
Paul Carpenter
Marie-Louise Charlier
Alexis Chesnakov
Guy De Monceau
Reed De Rouen
Jack Faint
Peter Fontaine
Thomas Gallagher
Michael Godfrey
Vernon Greeves
Herbert Halbik
Paul Hardtmuth
Walter Hertner
Charles Irwin
Lily Kann
Geoffrey Keen
Brookes Kyle
Martin Miller
Hannah Norbert
Eric Pohlmann
Carol Reed
Annie Rosar
Frederick Schrecker
Hugo Schuster
Karel Stepanek
Gordon Tanner
Brother Theodore
Ernst Ulman
Helga Wahlrow
Jenny Werner
