Bette Davis
Anne Baxter
George Sanders
Celeste Holm
Gary Merrill
Hugh Marlowe
Gregory Ratoff
Barbara Bates
Marilyn Monroe
Thelma Ritter
Walter Hampden
Randy Stuart
Craig Hill
Leland Harris
Barbara White
Eddie Fisher
William Pullen
Claude Stroud
Eugene Borden
Helen Mowery
Steven Geray
Gertrude Astor
Frank Baker
Ralph Brooks
Jack Chefe
Sayre Dearing
Jack Deery
Franklyn Farnum
Bess Flowers
Colin Kenny
Ethelreda Leopold
Carl M. Leviness
Thomas Martin
Mathew McCue
Harold Miller
William H. O'Brien
Stanley Orr
Marion Pierce
Paul Power
Suzanne Ridgway
Cosmo Sardo
Larry Steers
Robert Whitney
