Takashi Shimura
Shin'ichi Himori
Haruo Tanaka
Minoru Chiaki
Miki Odagiri
Bokuzen Hidari
Minosuke Yamada
Kamatari Fujiwara
Makoto Kobori
Nobuo Kaneko
Nobuo Nakamura
Atsushi Watanabe
Isao Kimura
Masao Shimizu
Yûnosuke Itô
Kumeko Urabe
Eiko Miyoshi
Noriko Honma
Yatsuko Tan'ami
Kin Sugai
Yoshie Minami
Kyôko Seki
Kusuo Abe
Tomo'o Nagai
Seiji Miyaguchi
Daisuke Katô
Hiroshi Hayashi
Fuyuki Murakami
Hirayoshi Aono
Toranosuke Ogawa
Taizô Fukami
Katao Kawasaki
Keiichirô Katsumoto
Fujio Nagahama
Akira Sera
Ichirô Chiba
Akira Tani
Yôyô Kojima
Haruko Toyama
Mie Asô
Toshiyuki Ichimura
Harue Kuramoto
Rasa Saya
Junpei Natsuki
Sachio Sakai
