Toshirô Mifune
Takashi Shimura
Keiko Tsushima
Yukiko Shimazaki
Kamatari Fujiwara
Daisuke Katô
Isao Kimura
Minoru Chiaki
Seiji Miyaguchi
Yoshio Kosugi
Bokuzen Hidari
Yoshio Inaba
Yoshio Tsuchiya
Kokuten Kôdô
Eijirô Tôno
Kichijirô Ueda
Jun Tatara
Atsushi Watanabe
Toranosuke Ogawa
Isao Yamagata
Sôjin Kamiyama
Gen Shimizu
Keiji Sakakida
Shinpei Takagi
Shin Ôtomo
Toshio Takahara
Hiroshi Sugi
Hiroshi Hayashi
Sachio Sakai
Sôkichi Maki
Ichirô Chiba
Noriko Sengoku
Noriko Honma
Masanobu Ôkubo
Etsuo Saijô
Minoru Itô
Haruya Sakamoto
Gorô Sakurai
Hideo Shibuya
Kiyoshi Kamoda
Senkichi Ômura
Takashi Narita
Shôichi Hirose
Kôji Uno
Masaaki Tachibana
Kamayuki Tsubono
Taiji Naka
Chindanji Miyagawa
Shigemi Sunagawa
Akira Tani
Akio Kusama
Ryûtarô Amami
Jun Mikami
Haruo Nakajima
Sanpei Mine
Masahide Matsushita
Kaneo Ikeda
Takuzô Kumagai
Ippei Kawagoe
Jirô Suzukawa
Junpei Natsuki
Kyôichi Kamiyama
Haruo Suzuki
Gorô Amano
Akira Kitchôji
Kôji Iwamoto
Hiroshi Akitsu
Akira Yamada
Kazuo Imai
Eisuke Nakanishi
Toku Ihara
Hideo Ôtsuka
Tokio Ôkawa
Yasuhisa Tsutsumi
Yasumasa Ônishi
Tsuneo Katagiri
Megeru Shimoda
Masayoshi Kawabe
Shigeo Katô
Yoshikazu Kawamata
Takeshi Seki
Haruko Toyama
Tsuruko Mano
Matsue Ono
Tsurue Ichimanji
Masako Ôshiro
Kyôko Ozawa
Michiko Kadono
Toshiko Nakano
Shizuko Azuma
Keiko Mori
Michiko Kawabe
Yûko Togawa
Yayoko Kitano
Misao Suyama
Toriko Takahara
Takeshi Katô
Tatsuya Nakadai
Ken Utsui
Ren Yamamoto
