James Stewart
Kim Novak
Barbara Bel Geddes
Tom Helmore
Henry Jones
Raymond Bailey
Ellen Corby
Konstantin Shayne
Lee Patrick
David Ahdar
Isabel Analla
Jack Ano
Margaret Bacon
John Benson
Danny Borzage
Margaret Brayton
Paul Bryar
Boyd Cabeen
Steve Conte
Jean Corbett
Bruno Della Santina
Roxann Delman
Molly Dodd
Bess Flowers
Joe Garcio
Joanne Genthon
Don Giovanni
Roland Gotti
Victor Gotti
Fred Graham
Robert Haines
Buck Harrington
Alfred Hitchcock
Jimmie Horan
Art Howard
Catherine Howard
June Jocelyn
Perk Lazelle
David McElhatton
Miliza Milo
Lyle Moraine
Forbes Murray
Julian Petruzzi
Ezelle Poule
Kathy Reed
William Remick
Jack Richardson
Jeffrey Sayre
Nina Shipman
Dori Simmons
Ed Stevlingson
Sara Taft
