Cary Grant
Eva Marie Saint
James Mason
Jessie Royce Landis
Leo G. Carroll
Josephine Hutchinson
Philip Ober
Martin Landau
Adam Williams
Edward Platt
Robert Ellenstein
Les Tremayne
Philip Coolidge
Patrick McVey
Edward Binns
Ken Lynch
Stanley Adams
Andy Albin
Anne Anderson
Don Anderson
Ernest Anderson
Malcolm Atterbury
Tol Avery
Sam Bagley
Rama Bai
Frank Baker
Alex Ball
Baynes Barron
Brandon Beach
John Beradino
Audrey Betz
Stephen Bolster
Boyd Cabeen
Steve Carruthers
Taggart Casey
Bill Catching
Bob Coe
David A. Cox
Walter Coy
Jimmy Cross
Lucille Curtis
Patricia Cutts
Jack Daly
John Damler
Lawrence Dobkin
Ken DuMain
Daniel Elam
Tommy Farrell
Jesslyn Fax
Adolph Faylauer
Bess Flowers
Josephine Forsberg
Sally Fraser
Paul Genge
Ned Glass
James Gonzalez
Tom Greenway
Robert Haines
Stuart Hall
Len Hendry
Alfred Hitchcock
Stuart Holmes
Hideo Inamura
Eugene Jackson
Bobby Johnson
Dick Johnstone
Sid Kane
Kenner G. Kemp
Madge Kennedy
Colin Kenny
Doreen Lang
Perk Lazelle
Larry Leverett
Carl M. Leviness
Caryl Lincoln
Alexander Lockwood
Frank Marlowe
Nora Marlowe
Tom Marshall
Thomas Martin
James McCallion
Maura McGiveney
Carl Milletaire
Hans Moebus
Howard Negley
Monty O'Grady
Henry O'Neill
Murray Pollack
Charles Postal
Maudie Prickett
Hugh Pryor
Anthony Redondo
Ralph Reed
Greg Rhinelander
John Roy
Cosmo Sardo
Jeffrey Sayre
Scott Seaton
Harry Seymour
Robert Shayne
Larry Sherman
Doris Singh
Jeremy Slate
Olan Soule
Bert Spencer
Helen Spring
Harvey Stephens
Bert Stevens
Harry Strang
Joe Szorentini
Paul Togawa
Arthur Tovey
Dale Van Sickel
Ray Weaver
Susan Whitney
Frank Wilcox
Lloyd Williams
Robert B. Williams
Paula Winslowe
Wilson Wood
Carleton Young
Ernesto Zambrano
