Jean-Pierre Léaud
Claire Maurier
Albert Rémy
Guy Decomble
Georges Flamant
Patrick Auffay
Daniel Couturier
François Nocher
Richard Kanayan
Renaud Fontanarosa
Michel Girard
Serge Moati
Bernard Abbou
Jean-François Bergouignan
Michel Lesignor
Luc Andrieux
Robert Beauvais
Bouchon
Christian Brocard
Yvonne Claudie
Marius Laurey
Claude Mansard
Jacques Monod
Pierre Repp
Henri Virlojeux
Jean-Claude Brialy
Jeanne Moreau
Philippe de Broca
Jacques Demy
Jean Douchet
Marianne Girard
Simone Jolivet
Laure Paillette
François Truffaut
