Anthony Perkins
Vera Miles
John Gavin
Janet Leigh
Martin Balsam
John McIntire
Simon Oakland
Frank Albertson
Patricia Hitchcock
Vaughn Taylor
Lurene Tuttle
John Anderson
Mort Mills
Fletcher Allen
Walter Bacon
Prudence Beers
Kit Carson
Francis De Sales
George Dockstader
George Eldredge
Harper Flaherty
Sam Flint
Virginia Gregg
Alfred Hitchcock
Paul Jasmin
Lee Kass
Frank Killmond
Ted Knight
Pat McCaffrie
Hans Moebus
Jeanette Nolan
Lillian O'Malley
Robert Osborne
Don Ross
Fred Scheiwiller
Helen Wallace
