Eli Wallach
Clint Eastwood
Lee Van Cleef
Aldo Giuffrè
Luigi Pistilli
Rada Rassimov
Enzo Petito
Claudio Scarchilli
John Bartha
Livio Lorenzon
Antonio Casale
Sandro Scarchilli
Benito Stefanelli
Angelo Novi
Antonio Casas
Aldo Sambrell
Al Mulock
Sergio Mendizábal
Antonio Molino Rojo
Lorenzo Robledo
Mario Brega
Luis Fernández de Eribe
Richard Alagich
Chelo Alonso
Fortunato Arena
Román Ariznavarreta
Silvana Bacci
Joseph Bradley
Frank Braña
Amerigo Castrighella
Saturno Cerra
Luigi Ciavarro
William Conroy
Antonio Contreras
Axel Darna
Tony Di Mitri
Alberigo Donadeo
Attilio Dottesio
Veriano Ginesi
Joyce Gordon
Bernie Grant
Jesús Guzmán
Víctor Israel
Nazzareno Natale
Ricardo Palacios
Antonio Palombi
Julio Martínez Piernavieja
Jesús Porras
Romano Puppo
Antoñito Ruiz
Aysanoa Runachagua
Enrique Santiago
José Terrón
Franco Tocci
