Keir Dullea
Gary Lockwood
William Sylvester
Daniel Richter
Leonard Rossiter
Margaret Tyzack
Robert Beatty
Sean Sullivan
Douglas Rain
Frank Miller
Bill Weston
Ed Bishop
Glenn Beck
Alan Gifford
Ann Gillis
Edwina Carroll
Penny Brahms
Heather Downham
Mike Lovell
John Ashley
Jimmy Bell
David Charkham
Simon Davis
Jonathan Daw
Péter Delmár
Terry Duggan
David Fleetwood
Danny Grover
Brian Hawley
David Hines
Tony Jackson
John Jordan
Scott MacKee
Laurence Marchant
Darryl Paes
Joe Refalo
Andy Wallace
Bob Wilyman
Richard Woods
Martin Amor
S. Newton Anderson
Ann Barrass
Sheraton Blount
Ann Bormann
John Clifford
Harold Coyne
Julie Croft
Harry Fielder
Penny Francis
Jane Hayward
Judy Keirn
Kenneth Kendall
Vivian Kubrick
Roy Lansford
Maggie London
Marcella Markham
Irena Marr
Krystyna Marr
Chela Matthison
Kim Neil
Jane Pearl
Penny Pearl
Ivor Powell
Kevin Scott
John Swindells
Burnell Tucker
