Claudia Cardinale
Henry Fonda
Jason Robards
Charles Bronson
Gabriele Ferzetti
Paolo Stoppa
Woody Strode
Jack Elam
Keenan Wynn
Frank Wolff
Lionel Stander
Livio Andronico
Salvatore Basile
Aldo Berti
Joseph Bradley
Frank Braña
Marilù Carteny
Saturno Cerra
Luigi Ciavarro
Spartaco Conversi
Bruno Corazzari
Bill Crawley
Paolo Figlia
John Frederick
Don Galloway
Michael Harvey
Robert Hossein
Stefano Imparato
Francesca Leone
Raffaella Leone
Frank Leslie
Luigi Magnani
Claudio Mancini
Dino Mele
Antonio Molino Rojo
Enrico Morsella
Umberto Morsella
Al Mulock
Ricardo Palacios
Tullio Palmieri
Antonio Palombi
Renato Pinciroli
Lorenzo Robledo
Sandra Salvatori
Aldo Sambrell
Conrado San Martín
Enzo Santaniello
Simonetta Santaniello
Claudio Scarchilli
Giovanni Ivan Scratuglia
Robert Spafford
Benito Stefanelli
Luana Strode
Fabio Testi
Dino Zamboni
Marco Zuanelli
