Paul Newman
Robert Redford
Robert Shaw
Charles Durning
Ray Walston
Eileen Brennan
Harold Gould
John Heffernan
Dana Elcar
Jack Kehoe
Dimitra Arliss
Robert Earl Jones
James Sloyan
Charles Dierkop
Lee Paul
Sally Kirkland
Avon Long
Arch Johnson
Ed Bakey
Brad Sullivan
John Quade
Larry D. Mann
Leonard Barr
Paulene Myers
Joe Tornatore
Jack Collins
Tom Spratley
Kenneth O'Brien
Ken Sansom
Ta-Tanisha
William 'Billy' Benedict
Jack Berle
Patricia Bratcher
Robert Brubaker
Robert Buckingham
Peter Paul Eastman
Kathleen Freeman
Susan French
Sig Frohlich
Ralph Gambina
Clarke Gordon
Jack Griffin
Bob Harks
George Holmes
Sid Kane
Bruce Kimball
Mike Lally
Alexander Lockwood
Jim Michael
Chuck Morrell
Byron Morrow
Jessica Rains
Edwin Rochelle
Pearl Shear
Arthur Tovey
Guy Way
