Ryan O'Neal
Marisa Berenson
Patrick Magee
Hardy Krüger
Steven Berkoff
Gay Hamilton
Marie Kean
Diana Körner
Murray Melvin
Frank Middlemass
André Morell
Arthur O'Sullivan
Godfrey Quigley
Leonard Rossiter
Philip Stone
Leon Vitali
John Bindon
Roger Booth
Billy Boyle
Jonathan Cecil
Peter Cellier
Geoffrey Chater
Anthony Dawes
Patrick Dawson
Bernard Hepton
Anthony Herrick
Barry Jackson
Wolf Kahler
Pat Laffan
Hans Meyer
Ferdy Mayne
David Morley
Liam Redmond
Pat Roach
Dominic Savage
Frederick Schiller
George Sewell
Anthony Sharp
John Sharp
Roy Spencer
John Sullivan
Harry Towb
Michael Hordern
Norman Gay
George Holdcroft
Katharina Kubrick
Vivian Kubrick
Anthony Lang
Gary Taylor
