Jack Nicholson
Louise Fletcher
Will Sampson
Michael Berryman
Alonzo Brown
Peter Brocco
Scatman Crothers
Dean R. Brooks
Mwako Cumbuka
Danny DeVito
William Duell
Josip Elic
Lan Fendors
Nathan George
Ken Kenny
Mel Lambert
Sydney Lassick
Kay Lee
Christopher Lloyd
Dwight Marfield
Ted Markland
Louisa Moritz
William Redfield
Philip Roth
Mimi Sarkisian
Vincent Schiavelli
Mews Small
Delos V. Smith Jr.
Tin Welch
Brad Dourif
Aurore Clément
Bill Gratton
Anjelica Huston
Audrey Landers
Tom McCall
James V. Shore
Saul Zaentz
