Anthony Hopkins
John Hurt
Anne Bancroft
John Gielgud
Wendy Hiller
Freddie Jones
Michael Elphick
Hannah Gordon
Helen Ryan
John Standing
Dexter Fletcher
Lesley Dunlop
Phoebe Nicholls
Pat Gorman
Claire Davenport
Orla Pederson
Patsy Smart
Frederick Treves
Stromboli
Richard Hunter
James Cormack
Robert Lewis Bush
Roy Evans
Joan Rhodes
Nula Conwell
Tony London
Alfie Curtis
Bernadette Milnes
Brenda Kempner
Carol Harrison
Hugh Manning
Dennis Burgess
Fanny Carby
William Morgan Sheppard
Kathleen Byron
Gerald Case
David Ryall
Deirdre Costello
Pauline Quirke
Kenny Baker
Chris Greener
Marcus Powell
Gilda Cohen
Lesley Scoble
Teri Scoble
Eiji Kusuhara
Robert Day
Patricia Hodge
Tommy Wright
Peter Davidson
John Rapley
Hugh Spight
Teresa Codling
Marion Betzold
Caroline Haigh
Florenzio Morgado
Victor Kravchenko
Beryl Hicks
Michele Amas
Lucie Alford
Penny Wright
Janie Kells
Lydia Lisle
Jack Armstrong
Eric Bergren
Adam Caine
Tony Clarkin
Dave Cooper
Christopher De Vore
Harry Fielder
Chick Fowles
Norman Gay
George Holdcroft
Juba Kennerley
David Lynch
Ralph Morse
Henry Roberts
Peter Ross-Murray
Kevin Schumm
Ian Selby
Guy Standeven
Reg Thomason
Fred Wood
