Harrison Ford
Karen Allen
Paul Freeman
Ronald Lacey
John Rhys-Davies
Denholm Elliott
Alfred Molina
Wolf Kahler
Anthony Higgins
Vic Tablian
Don Fellows
William Hootkins
Bill Reimbold
Fred Sorenson
Patrick Durkin
Matthew Scurfield
Malcolm Weaver
Sonny Caldinez
Anthony Chinn
Pat Roach
Christopher Frederick
Tutte Lemkow
Ishaq Bux
Kiran Shah
Souad Messaoudi
Terry Richards
Steve Hanson
Frank Marshall
Martin Kreidt
George Harris
Eddie Tagoe
John Rees
Tony Vogel
Ted Grossman
Vic Armstrong
Alan Austen
Roy Beck
Darin Chambers
Peter Diamond
Harry Fielder
Nick Gillard
Romo Gorrara
Reg Harding
Barrie Holland
Billy Horrigan
Josh.Ag
Terry Leonard
Rick Lester
Sergio Mioni
Dennis Muren
Bob Papenbrook
Chris Parsons
Glenn Randall Jr.
Peter Ross-Murray
Michael Sheard
Rocky Taylor
Frank Welker
