Kristina Adolphson
Börje Ahlstedt
Pernilla Allwin
Kristian Almgren
Carl Billquist
Axel Düberg
Allan Edwall
Siv Ericks
Ewa Fröling
Patricia Gélin
Majlis Granlund
Maria Granlund
Bertil Guve
Eva von Hanno
Sonya Hedenbratt
Olle Hilding
Svea Holst
Jarl Kulle
Käbi Laretei
Mona Malm
Lena Olin
Gösta Prüzelius
Christina Schollin
Hans Strååt
Pernilla August
Emelie Werkö
Gunn Wållgren
Inga Ålenius
Marianne Aminoff
Harriet Andersson
Mona Andersson
Hans Henrik Lerfeldt
Jan Malmsjö
Marianne Nielsen
Marrit Ohlsson
Kerstin Tidelius
Anna Bergman
Gunnar Björnstrand
Nils Brandt
Lars-Owe Carlberg
Gus Dahlström
Ernst Günther
Hugo Hasslo
Heinz Hopf
Maud Hyttenberg
Sven-Erik Jacobsson
Marianne Karlbeck
Kerstin Karte
Tore Karte
Åke Lagergren
Sune Mangs
Per Mattsson
Lickå Sjöman
Ryno Wallin
Georg Årlin
Daniel Bell
Gunnar Djerf
Folke Eng
Ebbe Eng
Evert Hallmarken
Nils Kyndel
Ulf Lagerwall
Börje Mårelius
Karl Nilheim
Erland Josephson
Stina Ekblad
Mats Bergman
Viola Aberlé
Gerd Andersson
Ann-Louise Bergström
Matthias Bolliger
Marie-Hélène Breillat
Marla Frumkin
Krister Hell
Zack Hoffman
John Hostetter
Linda Krüger
Mats Lindblom
Mona Marshall
Magnus Nordstrand
Margareta Pettersson
Mike Reynolds
Allan Rich
Michael Santiago
Marie-Louise Sid
Peter Stormare
Pernilla Wahlgren
Mel Welles
