Ben Kingsley
Rohini Hattangadi
Roshan Seth
Candice Bergen
Edward Fox
John Gielgud
Trevor Howard
John Mills
Martin Sheen
Ian Charleson
Günther Maria Halmer
Athol Fugard
Saeed Jaffrey
Geraldine James
Alyque Padamsee
Amrish Puri
Ian Bannen
Michael Bryant
John Clements
Richard Griffiths
Nigel Hawthorne
Bernard Hepton
Michael Hordern
Shreeram Lagoo
Om Puri
Virendra Razdan
Richard Vernon
Harsh Nayyar
Prabhakar Patankar
Vijay Kashyap
Nigam Prakash
Supriya Pathak
Neena Gupta
Shane Rimmer
Peter Harlowe
Anang Desai
Winston Ntshona
Peter Cartwright
Marius Weyers
Richard Mayes
Alok Nath
Dean Gasper
Ken Hutchison
Norman Chancer
Gulshan Kapoor
Charu Bala Chokshi
Raj Chaturvedi
Avpar Jhita
Anthony Sagger
David Gant
Daniel Day-Lewis
Ray Burdis
Daniel Peacock
Avis Bunnage
Caroline Hutchison
Mohan Agashe
Sudhanshu Mishra
Dina Nath
John Savident
John Patrick
Michael Godley
Stewart Harwood
Stanley McGeagh
Christopher Good
David Markham
Jyoti Sarup
John Naylor
Wilson George
Hansu Mehta
Sudarshan Sethi
Sunila Pradhan
Moti Makan
Jalal Agha
Rupert Frazer
Manohar Pitale
Homi Daruvala
K.K. Raina
Vivek Swaroop
Raja Biswas
Dominic Guard
Bernard Hill
Rama Kant Jha
Nana Palsikar
Alpna Gupta
Chandrakant Thakkar
John Quentin
Graham Seed
Keith Drinkel
Bob Babenia
Gerald Sim
Colin Farrell
Sanjeev Puri
Gareth Forwood
Vijay Crishna
Sankalp Dubey
James Cossins
Gurcharan Singh
John Vine
Geoffrey Chater
Ernest Clark
Habib Tanvir
Pankaj Mohan
Subhash Gupta
Aadil
Rajeshwar Nath
S.S. Thakur
Rahul Gupta
Barry John
Brian Oulton
James Snell
John Boxer
Gerard Norman
Bernard Horsfall
Richard Leech
Pankaj Kapur
Tarla Mehta
David Sibley
Dalip Tahil
Stanley Lebor
Terrence Hardiman
Monica Gupta
Jon Croft
William Hoyland
John Ratzenberger
Jack McKenzie
Tom Alter
Jane Myerson
Roop Kumar Razdan
Bani Sharad Joshi
Vagish Kumar Singh
Dilsher Singh
Sudhir Dalvi
Tilak Raj
Irpinder Puri
Pren Kapoor
Vinay Apte
Aswani Kumar
Avinash Dogra
Shreedhar Joshi
Suhas Palshikar
Karkirat Singh
Shekhar Chatterjee
Amarjeet
Pratap Desai
Bhatawadekar Prakash
Sunil Shende
Rovil Sinha
Rodney Cardiff
Harold Coyne
Mabel Etherington
Derek Lyons
Alf Mangan
Peter Ross-Murray
Gito Santana
Manoj Shah
Stephen M. Silverman
John Tatum
Fred Wood
