Sumi Shimamoto
Mahito Tsujimura
Hisako Kyôda
Gorô Naya
Ichirô Nagai
Kôhei Miyauchi
Jôji Yanami
Minoru Yada
Rihoko Yoshida
Masako Sugaya
Takako Sasuga
Chika Sakamoto
Tarako
Yôji Matsuda
Mîna Tominaga
Mugihito
Akiko Tsuboi
Yoshiko Sakakibara
Iemasa Kayumi
Tetsuo Mizutori
Takeki Nakamura
Takako Ôta
Bin Shimada
Shinji Nomura
Hisako Ayuhara
Hôchû Ôtsuka
Alison Lohman
Patrick Stewart
Uma Thurman
Chris Sarandon
Edward James Olmos
Mark Hamill
Jeff Bennett
Tress MacNeille
Tony Jay
Jodi Benson
Mark Silverman
James Arnold Taylor
Frank Welker
Newell Alexander
Rosemary Alexander
Tom Amundsen
Stephen Apostolina
Mitch Carter
Robert Clotworthy
David Cowgill
Wendy Cutler
Ike Eisenmann
Jean Gilpin
Nicholas Guest
Bridget Hoffman
Sherry Hursey
Rif Hutton
Edie Mirman
Richard Miro
Peter Renaday
Lynnanne Zager
Emily Bauer
Paul Butcher
Ashley Edner
Molly Marlette
Ashley Rose
Jordan Del Spina
Aimee Roldan
Grace Rolek
Ross Simanteris
Jimmy Keegan
Shia LaBeouf
Mona Marshall
Alvy Moore
Patricia Parris
Ken Sansom
John Schwab
Hal Smith
Dee Bradley Baker
Bettina Bush
Cam Clarke
Peter Cullen
Susan Davis
Linda Gary
Doris Hess
Russell Johnson
Daamen J. Krall
David McCharen
Jan Rabson
Marilyn Schreffler
Ginny Taylor
B.J. Ward
Jeff Winkless
