Tatsuya Nakadai
Akira Terao
Jinpachi Nezu
Daisuke Ryû
Mieko Harada
Yoshiko Miyazaki
Hisashi Igawa
Pîtâ
Masayuki Yui
Kazuo Katô
Norio Matsui
Toshiya Ito
Kenji Kodama
Takashi Watanabe
Mansai Nomura
Takeshi Katô
Jun Tazaki
Hitoshi Ueki
Takao Zushi
Yoshitaka Zushi
Tetsuo Yamashita
Akihiko Sugizaki
Masaaki Sasaki
Yoshimitsu Yamaguchi
Masuo Amada
Masaru Sakurai
Sakae Kimura
Ryûjirô Oki
Hanbei Kawai
Ryo Nagasawa
Yûichi Hibi
Seizô Katô
Tokie Kanda
Sawako Kochi
Reiko Nanjo
Kumeko Otowa
Heihachiro Suzuki
Susumu Terajima
Haruko Tôgô
