Matthew Modine
Adam Baldwin
Vincent D'Onofrio
R. Lee Ermey
Dorian Harewood
Kevyn Major Howard
Arliss Howard
Ed O'Ross
John Terry
Kieron Jecchinis
Kirk Taylor
Tim Colceri
Jon Stafford
Bruce Boa
Ian Tyler
Sal Lopez
Gary Landon Mills
Papillon Soo
Peter Edmund
Ngoc Le
Leanne Hong
Tan Hung Francione
Marcus D'Amico
Costas Dino Chimona
Gil Kopel
Keith Hodiak
Peter Merrill
Herbert Norville
Nguyen Hue Phong
Duc Hu Ta
Martin Adams
Kevin Albridge
Del Anderson
Philip Bailey
Louis Barlotti
John Beddows
Patrick Benn
Steve Boucher
Adrian Bush
Tony Carey
Gary Cheeseman
Wayne Clark
Chris Cornibert
Danny Cornibert
John Curtis
John Davis
Harry Davies
Kevin Day
Gordon Duncan
Phil Elmer
Colin Elvis
Hadrian Follett
Sean Frank
David George
Laurie Gomes
Brian Goodwin
Nigel Goulding
Tony Hague
Steve Hands
Chris Harris
Bob Eric Hart
Derek Hart
Barry Hayes
Tony Hayes
Robin Hedgeland
Duncan Henry
Kenneth Head
Liam Hogan
Trevor Hogan
Luke Hogdal
Steve Hudson
Tony Howard
Sean Lamming
Dan Landin
Tony Leete
Nigel Lough
Terry Lowe
Frank McCardle
Gary Meyer
Brett Middleton
David Milner
Sean Minmagh
Tony Minmagh
John Morrison
Russell Mott
John Ness
Robert Nichols
David Perry
Peter Rommely
Pat Sands
Jim Sarup
Chris Maybach
Al Simpson
Russell Slater
Gary Smith
Roger Smith
Tony Smith
Anthony Styliano
Bill Thompson
Mike Turjansky
Dan Weldon
Dennis Wells
Michael Anthony Williams
John Wilson
John Wonderling
Stanley Kubrick
Vivian Kubrick
David Palffy
Ken Shane
John Ward
