Antonella Attili
Enzo Cannavale
Isa Danieli
Leo Gullotta
Marco Leonardi
Pupella Maggio
Agnese Nano
Leopoldo Trieste
Salvatore Cascio
Tano Cimarosa
Nicola Di Pinto
Roberta Lena
Nino Terzo
Jacques Perrin
Brigitte Fossey
Philippe Noiret
Nellina Laganà
Turi Giuffrida
Mariella Lo Giudice
Giorgio Libassi
Beatrice Palme
Ignazio Pappalardo
Angela Leontini
Mimmo Mignemi
Margherita Mignemi
Giuseppe Pellegrino
Turi Killer
Angelo Tosto
Concetta Borpagano
Franco Catalano
Roscoe 'Fatty' Arbuckle
Antonio Arcidiacono
Junie Astor
Ignazio Balsamo
Brigitte Bardot
John Barrymore
Isa Barzizza
Ingrid Bergman
Vilma Bánky
Clara Calamai
Mario Castellani
Nicola Castorino
Charles Chaplin
Gary Cooper
Olivia de Havilland
Vittorio De Sica
Kirk Douglas
Errol Flynn
Jean Gabin
Clark Gable
Greta Garbo
Vittorio Gassman
Massimo Girotti
Farley Granger
Cary Grant
Georgia Hale
Laurence Harvey
Helen Hayes
Louis Jouvet
Anna Magnani
Silvana Mangano
Marcello Mastroianni
Amedeo Nazzari
Suzy Prim
Donna Reed
Jane Russell
Rosalind Russell
Yvonne Sanson
Maria Schell
Norma Shearer
Simone Signoret
Alberto Sordi
James Stewart
Giuseppe Tornatore
Totò
Spencer Tracy
Claire Trevor
Rudolph Valentino
Alida Valli
John Wayne
