Noriko Hidaka
Chika Sakamoto
Shigesato Itoi
Sumi Shimamoto
Tanie Kitabayashi
Hitoshi Takagi
Yûko Maruyama
Machiko Washio
Reiko Suzuki
Masashi Hirose
Toshiyuki Amagasa
Shigeru Chiba
Naoki Tatsuta
Tarako
Tomohiro Nishimura
Mitsuko Ishida
Chie Kôjiro
Daiki Nakamura
Yûko Mizutani
Akiko Hiramatsu
Ikue Ôtani
Dakota Fanning
Elle Fanning
Tim Daly
Pat Carroll
Lea Salonga
Frank Welker
Paul Butcher
Matt Adler
Newell Alexander
David Midthunder
Kristin Klabunde
J.P. Manoux
Evan Sabara
Kath Soucie
Yvonne Russo
Russi Taylor
Toochis Morin
Peter Renaday
Robert Clotworthy
Kimberly Guerrero
Bridget Hoffman
Zahn McClarnon
Katelin Petersen
Ashley Rose
Lisa Michelson
Cheryl Chase
Gregory Snegoff
Kenneth Hartman
Alexandra Kenworthy
Natalie Core
Steve Kramer
Lara Cody
Melanie MacQueen
Brianne Brozey
Carl Macek
Tress MacNeille
Kerrigan Mahan
Edie Mirman
Doug Stone
