Liam Neeson
Ben Kingsley
Ralph Fiennes
Caroline Goodall
Jonathan Sagall
Embeth Davidtz
Malgorzata Gebel
Shmuel Levy
Mark Ivanir
Béatrice Macola
Andrzej Seweryn
Friedrich von Thun
Krzysztof Luft
Harry Nehring
Norbert Weisser
Adi Nitzan
Michael Schneider
Miri Fabian
Anna Mucha
Albert Misak
Michael Gordon
Aldona Grochal
Jacek Wójcicki
Beata Paluch
Piotr Polk
Ezra Dagan
Beata Deskur
Rami Heuberger
Leopold Kozlowski
Jerzy Nowak
Uri Avrahami
Adam Siemion
Magdalena Dandourian
Pawel Delag
Shabtai Konorti
Oliwia Dabrowska
Henryk Bista
Tadeusz Bradecki
Wojciech Klata
Elina Löwensohn
Ewa Kolasinska
Bettina Kupfer
Grzegorz Kwas
Vili Matula
Stanislaw Koczanowicz
Hans-Jörg Assmann
Geno Lechner
August Schmölzer
Ludger Pistor
Beata Rybotycka
Branko Lustig
Artus Maria Matthiessen
Hans-Michael Rehberg
Eugeniusz Priwieziencew
Michael Z. Hoffmann
Erwin Leder
Jochen Nickel
Andrzej Welminski
Daniel Del-Ponte
Marian Glinka
Grzegorz Damiecki
Stanislaw Brejdygant
Olaf Lubaszenko
Haymon Maria Buttinger
Peter Appiano
Jacek Pulanecki
Tomasz Dedek
Slawomir Holland
Martin Semmelrogge
Tadeusz Huk
Alexander Held
Piotr Cyrwus
Joachim Paul Assböck
Osman Ragheb
Maciej Orlos
Marek Wrona
Zbigniew Kozlowski
Marcin Grzymowicz
Dieter Witting
Magdalena Komornicka
Agnieszka Krukówna
Anemona Knut
Jeremy Flynn
Agnieszka Wagner
Jan Jurewicz
Wieslaw Komasa
Maciej Kozlowski
Martin Bergmann
Wilhelm Manske
Peter Flechtner
Sigurd Bemme
Etl Szyc
Lucyna Zabawa
Ruth Farhi
Jerzy Sagan
Dariusz Szymaniak
Dirk Bender
Maciej Winkler
Radoslaw Krzyzowski
Jacek Lenczowski
Hanna Kossowska
Maja Ostaszewska
Sebastian Skalski
Ryszard Radwanski
Piotr Kadlcik
Lech Niebielski
Thomas Morris
Sebastian Konrad
Lidia Wyrobiec-Bank
Ravit Ferera
Agnieszka Korzeniowska
Dominika Bednarczyk
Alicja Kubaszewska
Danny Marcu
Hans Rosner
Edward Linde-Lubaszenko
Alexander Strobele
Georges Kern
Alexander Buczolich
Michael Schiller
Götz Otto
Wolfgang Seidenberg
Hubert Kramar
Razia Israeli
Dorit Seadia
Esti Yerushalmi
Marta Bizon
Michelle Csitos
Blythe Daniel
Janek Dresner
Ryszard Horowitz
Maciej Kowalewski
Kamil Krawiec
Zuzanna Lipiec
Maria Peszek
Leopold Pfefferberg
Leopold Rosner
Emilie Schindler
Katarzyna Smiechowicz
Ben Talar
Katarzyna Tlalka
