Tim Roth
Amanda Plummer
Laura Lovelace
John Travolta
Samuel L. Jackson
Phil LaMarr
Frank Whaley
Burr Steers
Bruce Willis
Ving Rhames
Paul Calderon
Bronagh Gallagher
Rosanna Arquette
Eric Stoltz
Uma Thurman
Jerome Patrick Hoban
Michael Gilden
Gary Shorelle
Susan Griffiths
Eric Clark
Joseph Pilato
Brad Blumenthal
Steve Buscemi
Lorelei Leslie
Emil Sitka
Brenda Hillhouse
Christopher Walken
Chandler Lindauer
Sy Sher
Robert Ruth
Rich Turner
Angela Jones
Don Blakely
Carl Allen
Maria de Medeiros
Karen Maruyama
Kathy Griffin
Venessia Valentino
Linda Kaye
Duane Whitaker
Peter Greene
Stephen Hibbert
Alexis Arquette
Quentin Tarantino
Harvey Keitel
Julia Sweeney
Lawrence Bender
Cie Allman
Rene Beard
Justin Mullins
Lori Pizzo
Glendon Rich
Devan Richardson
Ani Sava
Jimmy Star
