Noel Appleby
Ali Astin
Sean Astin
David Aston
John Bach
Sean Bean
Cate Blanchett
Orlando Bloom
Billy Boyd
Sadwyn Brophy
Alistair Browning
Marton Csokas
Richard Edge
Jason Fitch
Bernard Hill
Ian Holm
Bruce Hopkins
Ian Hughes
Lawrence Makoare
Ian McKellen
Bret McKenzie
Sarah McLeod
Maisy McLeod-Riera
Dominic Monaghan
Viggo Mortensen
John Noble
Paul Norell
Miranda Otto
Bruce Phillips
Shane Rangi
John Rhys-Davies
Todd Rippon
Thomas Robins
Andy Serkis
Harry Sinclair
Peter Tait
Joel Tobeck
Liv Tyler
Karl Urban
Stephen Ure
Hugo Weaving
David Wenham
Elijah Wood
Alan Howard
Sala Baker
Robert Pollock
Ross Duncan
Pete Smith
Jed Brophy
Lee Hartley
Billy Jackson
Katie Jackson
Phil Grieve
Brad Dourif
Christopher Lee
Bruce Spence
Jane Abbott
Gino Acevedo
Aidan Bell
Jarl Benzon
Jørn Benzon
Luke Burnyeat
Emma Deakin
Michael Elsworth
Clint Elvy
Zo Hartley
Peter Jackson
Sandro Kopp
Andrew Lesnie
Joseph Mika-Hunt
Henry Mortensen
Craig Parker
Rick Porras
Christian Rivers
Michael Semanick
Howard Shore
John Stephenson
Richard Taylor
Royd Tolkien
