Rumi Hiiragi
Miyu Irino
Mari Natsuki
Takashi Naitô
Yasuko Sawaguchi
Tatsuya Gashûin
Ryûnosuke Kamiki
Yumi Tamai
Yô Ôizumi
Koba Hayashi
Tsunehiko Kamijô
Takehiko Ono
Bunta Sugawara
Shigeru Wakita
Shirô Saitô
Michiko Yamamoto
Keiko Tsukamoto
Akio Nakamura
Shinji Tokumaru
Kaori Yamagata
Yayoi Kazuki
Masahiro Asano
Kazutaka Hayashida
Ikuko Yamamoto
Mina Meguro
Tetsurô Ishibashi
Katsutomo Shîbara
Shinobu Katabuchi
Noriko Kitou
Naoto Kaji
Yoshitaka Sukegawa
Aki Tachikawa
Noriko Yamada
Katsuhisa Matsuo
Masayuki Kizu
Yôko Ôno
Sachie Azuma
Ken Yasuda
Shigeyuki Totsugi
Mayumi Sako
Sonoko Soeda
Akiko Tomihira
Minako Masuda
Orika Ono
Rina Yamada
Miwa Takachi
Hiromi Takeuchi
Makiko Oku
Daveigh Chase
Suzanne Pleshette
Jason Marsden
Susan Egan
David Ogden Stiers
Lauren Holly
Michael Chiklis
John Ratzenberger
Tara Strong
Mickie McGowan
Sherry Lynn
Jack Angel
Mona Marshall
Bob Bergen
Candi Milo
Rodger Bumpass
Colleen O'Shaughnessey
Jennifer Darling
Phil Proctor
Paul Eiding
Jim Ward
Madalena Bobone
Mónica Chaby
Romeu Costa
Filipa Maló Franco
João Lagarto
João Melo
Rui Mendes
Fernanda Montemor
Dee Bradley Baker
