Adrien Brody
Emilia Fox
Michal Zebrowski
Ed Stoppard
Maureen Lipman
Frank Finlay
Jessica Kate Meyer
Julia Rayner
Wanja Mues
Richard Ridings
Nomi Sharron
Anthony Milner
Lucy Skeaping
Roddy Skeaping
Ben Harlan
Thomas Lawinky
Joachim Paul Assböck
Roy Smiles
Paul Bradley
Daniel Caltagirone
Andrzej Blumenfeld
Darian Wawer
Zbigniew Zamachowski
Lejb Fogelman
Detlev von Wangenheim
Popeck
Zofia Czerwinska
Emilio Fernandez
Udo Kroschwald
Uwe Rathsam
Joanna Brodzik
Katarzyna Bargielowska
Maja Ostaszewska
John Bennett
Cyril Shaps
Wojciech Smolarz
Lech Mackiewicz
Ruth Platt
Frank-Michael Köbe
Torsten Flach
Peter Rappenglück
Ronan Vibert
Krzysztof Pieczynski
Katarzyna Figura
Valentine Pelka
Andrew Tiernan
Tom Strauss
Thomas Kretschmann
Cezary Kosinski
Grzegorz Artman
Adam Bauman
Pawel Burczyk
Zbigniew Dziduch
Marian Dziedziel
Nina Franoszek
Jerzy Góralczyk
John Keogh
Jaroslaw Kopaczewski
Patrick Lanagan
Dmitri Leshchenko
Dorota Liliental
Rafal Mohr
Andrzej Pieczynski
Morgane Polanski
Norbert Rakowski
Piotr Siejka
Viola Szen
Andrzej Szenajch
Tomasz Tyndyk
Andrzej Walden
Zbigniew Walerys
Maciej Winkler
Tadeusz Wojtych
Andrzej Zielinski
Maurycy Zylber
Xawery Zylber
Tomasz Ciszewski
Rafal Dajbor
Roman Garbowski
Anna Gryszka
Adrian Hood
Ryszard Kluge
Maciej Kowalewski
Ireneusz Machnicki
Pawel Malaszynski
Adam Malecki
Aleksandra Nizynska
Axel Prahl
Dagmara Sieminska
Izabella Szolc
Dawid Szurmiej
Borys Szyc
Jacek Wolszczak
Pawel Zdun
