Chieko Baishô
Takuya Kimura
Akihiro Miwa
Tatsuya Gashûin
Ryûnosuke Kamiki
Mitsunori Isaki
Yô Ôizumi
Akio Ôtsuka
Daijirô Harada
Haruko Katô
Jean Simmons
Christian Bale
Lauren Bacall
Blythe Danner
Emily Mortimer
Josh Hutcherson
Billy Crystal
Jena Malone
Crispin Freeman
Mark Silverman
Mari Devon
Liliana Mumy
Carlos Alazraqui
Newell Alexander
Rosemary Alexander
Julia Barnett
Susanne Blakeslee
Leslie Carrara
Mitch Carter
David Cowgill
Holly Dorff
Moosie Drier
Ike Eisenmann
Will Friedle
Bridget Hoffman
Richard Steven Horvitz
Sherry Hursey
Hope Levy
Christina MacGregor
Joel McCrary
Edie Mirman
Peter Renaday
Kristen Rutherford
Warren Sroka
São José Correia
Cornelia Dahlgren
Rui de Sá
Victor Emanuel
Albano Jerónimo
Yayoi Kazuki
Márcia Leal
Scott McAfee
João Secundino
Joana Seixas
Shigeyuki Totsugi
Mayuno Yasokawa
Ken Yasuda
Daran Norris
