Brad Pitt
Mélanie Laurent
Christoph Waltz
Eli Roth
Michael Fassbender
Diane Kruger
Daniel Brühl
Til Schweiger
Gedeon Burkhard
Jacky Ido
B.J. Novak
Omar Doom
August Diehl
Denis Ménochet
Sylvester Groth
Martin Wuttke
Mike Myers
Julie Dreyfus
Richard Sammel
Alexander Fehling
Rod Taylor
Sönke Möhring
Samm Levine
Paul Rust
Michael Bacall
Arndt Schwering-Sohnrey
Petra Hartung
Volker Michalowski
Ken Duken
Christian Berkel
Anne-Sophie Franck
Léa Seydoux
Tina Rodriguez
Lena Friedrich
Ludger Pistor
Jana Pallaske
Wolfgang Lindner
Michael Kranz
Rainer Bock
André Penvern
Sebastian Hülk
Buddy Joe Hooker
Carlos Fidel
Christian Brückner
Hilmar Eichhorn
Patrick Elias
Eva Löbau
Salvadore Brandt
Jasper Linnewedel
Wilfried Hochholdinger
Olivier Girard
Michael Scheel
Leo Plank
Andreas Tietz
Bo Svenson
Enzo G. Castellari
Michael August
Bela B.
Noémi Besedes
Alex Boden
Luke Burnyeat
Hélène Cardona
Guido Foehrweisser
Jake Garber
Nesti Gee
Claudina Hoff ter Heide
Samuel L. Jackson
Harvey Keitel
Andrew Napier
Greg Nicotero
Niko Novick
Aleksandrs Petukhovs
Brendan Potter
Sabrina Rattey
Bea-Marie Rück
Daniela Schwerdt
Julia Smola
Quentin Tarantino
Vitus Wieser
