Bruno Ganz
Alexandra Maria Lara
Corinna Harfouch
Ulrich Matthes
Juliane Köhler
Heino Ferch
Christian Berkel
Matthias Habich
Thomas Kretschmann
Michael Mendl
André Hennicke
Ulrich Noethen
Birgit Minichmayr
Rolf Kanies
Justus von Dohnányi
Dieter Mann
Christian Redl
Götz Otto
Thomas Limpinsel
Thomas Thieme
Alexander Held
Donevan Gunia
Bettina Redlich
Heinrich Schmieder
Anna Thalbach
Dietrich Hollinderbäumer
Ulrike Krumbiegel
Karl Kranzkowski
Thorsten Krohn
Jürgen Tonkel
Devid Striesow
Fabian Busch
Christian Hoening
Aleksandr Slastin
Alina Sokar
Amelie Menges
Charlotte Stoiber
Gregory Borlein
Julia Bauer
Laura Borlein
Andrey Blagoslovenski
Dirk Borchardt
Elizaveta Boyarskaya
Michael Brandner
I. Bubenchikov
Leopold von Buttlar
Martin Butzke
Dmitriy Bykovskiy-Romashov
Sergey Evseev
Mathias Gnädinger
Bohdan Graczyk
Sergei Halturin
Norbert Heckner
Enno Hesse
Yevgeni Ilovaiskij
Julia Jentsch
Oleg Khoroshilov
Michael Kind
Elisabeth von Koch
Tara Marie Linke
Michael Lippold
Konstantin Lukashov
Stefan Mehren
Ilya Mozgovoy
Silke Nikowski
Alexei Oleinikov
Oleg Piminov
Katerina Poladjan
Oleg Popov
Silke Popp
Vasiliy Reutov
Igor Romanov
Tanja Schleiff
Christian Schmidt
August Schmölzer
Jurij Schrader
Boris Schwarzmann
Maria Semenova
Igor Sergeev
Valeri Slavinski
Valeriy Solomakhin
Hans H. Steinberg
Klaus-Jürgen Steinmann
Oliver Stritzel
Veit Stübner
Mikhail Tryasorukov
Vsevolod Tsurilo
Klaus B. Wolf
Elena Dreyden
Tatyana Zhuravlyova
Aleksandr Styopin
Thomas Franke
Traudl Junge
Martin Kessler
Chelsea M. Matthews
Henning Peker
Dieter Rupp
