Edward Asner
Christopher Plummer
Jordan Nagai
Bob Peterson
Delroy Lindo
Jerome Ranft
John Ratzenberger
David Kaye
Elie Docter
Jeremy Leary
Mickie McGowan
Danny Mann
Donald Fullilove
Jess Harnell
Josh Cooley
Pete Docter
Mark Andrews
Bob Bergen
Brenda Chapman
Emma Coats
John Cygan
Paul Eiding
Tony Fucile
Teresa Ganzel
Sherry Lynn
Laraine Newman
Teddy Newton
Jeff Pidgeon
Valerie LaPointe
Jan Rabson
Bob Scott
Kerem Atabeyoglu
Ali Ekber Diribas
Erol Günaydin
Riza Karaagaçli
Zamire Kasapoglu
Murat Sen
Murat Senol
Bora Severcan
Melis Severcan
Volkan Severcan
Bogaçhan Sözmen
Ugur Tasdemir
Tibet Tore
Sebastian Warholm
Ender Yigit
