Ryûnosuke Kamiki
Mone Kamishiraishi
Ryô Narita
Aoi Yûki
Nobunaga Shimazaki
Kaito Ishikawa
Kanon Tani
Masaki Terasoma
Sayaka Ôhara
Kazuhiko Inoue
Chafûrin
Kana Hanazawa
Yuka Terasaki
Takashi Onozuka
Yôhei Namekawa
Miyu Tsuji
Shin'ya Hamazoe
Kanami Satô
Shinjirô Gôda
Yasuhiro Kikuchi
Tamari Hinata
Nozomi Yamane
Yuuki Shin
Tatsuya Murakami
Nodoka Hasegawa
Baron Yamazaki
Suguru Inoue
Ryoko Usami
Miho Morisaki
Tsuyoshi Minamijima
Aika Oomae
Tomohiro Yamaguchi
Takayuki Nakatsukasa
Hiroki Matsukawa
Shouko Negoro
Haruka Ominami
Manami Hanawa
Miho Tabata
Eriko Tomioka
Eiji Yamamoto
Ray Chase
Kevin T. Collins
Marc Diraison
Ben Diskin
Glynis Ellis
Erin Fitzgerald
Paige Fitzgerald
Sri Gordon
Wayne Grayson
Catie Harvey
Kyle Hebert
Etsuko Ichihara
Eddy Lee
Cherami Leigh
Cassandra Lee Morris
Masami Nagasawa
Laura Post
Ben Pronsky
H.D. Quinn
Spencer Rosen
Alyson Leigh Rosenfeld
Michelle Ruff
Erica Schroeder
Stephanie Sheh
Michael Sinterniklaas
Kaiji Tang
Maki Terashima-Furuta
Katy Vaughn
Scott Williams
